condition,ordering,seed,i,j,kappa,magnitude,interference,abs_interference
entity,0,0,0,1,0.027549465128925563,2.4359858206305676,-0.0206064541084616,0.0206064541084616
entity,0,0,0,2,0.027771567996152702,2.5204844465054648,-0.042201499692180865,0.042201499692180865
entity,0,0,0,3,0.027773282515938226,2.424079415073791,-0.04252034130838758,0.04252034130838758
entity,0,0,1,2,0.03740761551695904,1.065948771358439,-0.00037499053480499756,0.00037499053480499756
entity,0,0,1,3,0.036776848014489195,1.0251777104816937,-0.00025684926653717077,0.00025684926653717077
entity,0,0,2,3,0.036390511932713185,1.060738717068691,-0.0008434085059589581,0.0008434085059589581
entity,0,1,0,1,0.03505467373986889,5.630037290568659,-0.16340751397547856,0.16340751397547856
entity,0,1,0,2,0.02512258174884934,2.5375616464698134,-0.16340741216755672,0.16340741216755672
entity,0,1,0,3,0.025563564027030382,2.60502060214752,-0.16340751399068604,0.16340751399068604
entity,0,1,1,2,0.03459775951794106,2.5076565467539003,3.7459521266824947e-07,3.7459521266824947e-07
entity,0,1,1,3,0.03534527602070848,2.5743205003479805,-5.013624793104299e-10,5.013624793104299e-10
entity,0,1,2,3,0.04459322611483445,1.1602937299095943,2.0823967128436038e-07,2.0823967128436038e-07
entity,0,2,0,1,0.025981622598675307,2.5120391250524827,-0.02116839579278311,0.02116839579278311
entity,0,2,0,2,0.03652628398887697,5.615106284982212,-0.10228681361033262,0.10228681361033262
entity,0,2,0,3,0.018723814641955213,2.401796378947609,-0.10229145209925873,0.10229145209925873
entity,0,2,1,2,0.04203870627836609,2.5472160078769424,-0.0591468598221951,0.0591468598221951
entity,0,2,1,3,0.02064841069233842,1.0895420092899637,-0.059151348798564256,0.059151348798564256
entity,0,2,2,3,0.0290852240374902,2.435429497535555,-5.949105355629314e-06,5.949105355629314e-06
entity,1,0,0,1,0.02538752918946738,2.560393947036155,-0.04166401689886884,0.04166401689886884
entity,1,0,0,2,0.025161705526544356,2.6111910561751017,-0.08248634814772154,0.08248634814772154
entity,1,0,0,3,0.024588869630445067,2.487640478431231,-0.09780907306612524,0.09780907306612524
entity,1,0,1,2,0.030639816464007943,1.1907866446351596,-0.07944186027838068,0.07944186027838068
entity,1,0,1,3,0.026600604667748367,1.1344436292259903,-0.09824381669127072,0.09824381669127072
entity,1,0,2,3,0.032039191965298516,1.1569505004488667,-0.034735515361782376,0.034735515361782376
entity,1,1,0,1,0.025676309084921467,2.562286076891431,-0.0005522438332722368,0.0005522438332722368
entity,1,1,0,2,0.02247455378814508,2.585212099706891,-0.02665225647324304,0.02665225647324304
entity,1,1,0,3,0.028309408591947856,2.6762113841005757,-0.05040572668346904,0.05040572668346904
entity,1,1,1,2,0.029821538893025183,1.1570206076020815,-0.03126866590604396,0.03126866590604396
entity,1,1,1,3,0.029672140502827484,1.1977476517515628,-0.09458502505446313,0.09458502505446313
entity,1,1,2,3,0.02820888685578324,1.208464483973722,-0.04078549988194741,0.04078549988194741
